2024-10-18 21:20:18,295 INFO    StreamThr :3326268 [internal.py:wandb_internal():87] W&B internal server running at pid: 3326268, started at: 2024-10-18 21:20:18.295183
2024-10-18 21:20:18,297 DEBUG   HandlerThread:3326268 [handler.py:handle_request():144] handle_request: status
2024-10-18 21:20:18,297 INFO    WriterThread:3326268 [datastore.py:open_for_write():85] open: /home/abdelrahman.elsayed/sarim_code/wandb/run-20241018_212018-p8w61ip6/run-p8w61ip6.wandb
2024-10-18 21:20:18,299 DEBUG   SenderThread:3326268 [sender.py:send():336] send: header
2024-10-18 21:20:18,345 DEBUG   SenderThread:3326268 [sender.py:send():336] send: run
2024-10-18 21:20:19,647 INFO    SenderThread:3326268 [dir_watcher.py:__init__():219] watching files in: /home/abdelrahman.elsayed/sarim_code/wandb/run-20241018_212018-p8w61ip6/files
2024-10-18 21:20:19,647 INFO    SenderThread:3326268 [sender.py:_start_run_threads():1078] run started: p8w61ip6 with start time 1729272018.294645
2024-10-18 21:20:19,647 DEBUG   SenderThread:3326268 [sender.py:send_request():363] send_request: summary_record
2024-10-18 21:20:19,648 INFO    SenderThread:3326268 [sender.py:_save_file():1332] saving file wandb-summary.json with policy end
2024-10-18 21:20:19,649 DEBUG   HandlerThread:3326268 [handler.py:handle_request():144] handle_request: check_version
2024-10-18 21:20:19,649 DEBUG   SenderThread:3326268 [sender.py:send_request():363] send_request: check_version
2024-10-18 21:20:19,729 DEBUG   HandlerThread:3326268 [handler.py:handle_request():144] handle_request: run_start
2024-10-18 21:20:19,769 DEBUG   HandlerThread:3326268 [system_info.py:__init__():31] System info init
2024-10-18 21:20:19,769 DEBUG   HandlerThread:3326268 [system_info.py:__init__():46] System info init done
2024-10-18 21:20:19,769 INFO    HandlerThread:3326268 [system_monitor.py:start():183] Starting system monitor
2024-10-18 21:20:19,769 INFO    SystemMonitor:3326268 [system_monitor.py:_start():147] Starting system asset monitoring threads
2024-10-18 21:20:19,769 INFO    HandlerThread:3326268 [system_monitor.py:probe():204] Collecting system info
2024-10-18 21:20:19,769 INFO    SystemMonitor:3326268 [interfaces.py:start():187] Started cpu monitoring
2024-10-18 21:20:19,770 INFO    SystemMonitor:3326268 [interfaces.py:start():187] Started disk monitoring
2024-10-18 21:20:19,770 INFO    SystemMonitor:3326268 [interfaces.py:start():187] Started gpu monitoring
2024-10-18 21:20:19,771 INFO    SystemMonitor:3326268 [interfaces.py:start():187] Started memory monitoring
2024-10-18 21:20:19,771 INFO    SystemMonitor:3326268 [interfaces.py:start():187] Started network monitoring
2024-10-18 21:20:19,839 DEBUG   HandlerThread:3326268 [system_info.py:probe():195] Probing system
2024-10-18 21:20:19,845 DEBUG   HandlerThread:3326268 [system_info.py:_probe_git():180] Probing git
2024-10-18 21:20:19,860 DEBUG   HandlerThread:3326268 [system_info.py:_probe_git():188] Probing git done
2024-10-18 21:20:19,860 DEBUG   HandlerThread:3326268 [system_info.py:probe():240] Probing system done
