2024-10-18 21:21:46,165 INFO    StreamThr :3327812 [internal.py:wandb_internal():87] W&B internal server running at pid: 3327812, started at: 2024-10-18 21:21:46.164863
2024-10-18 21:21:46,166 DEBUG   HandlerThread:3327812 [handler.py:handle_request():144] handle_request: status
2024-10-18 21:21:46,167 INFO    WriterThread:3327812 [datastore.py:open_for_write():85] open: /home/abdelrahman.elsayed/sarim_code/wandb/run-20241018_212146-w102ona2/run-w102ona2.wandb
2024-10-18 21:21:46,168 DEBUG   SenderThread:3327812 [sender.py:send():336] send: header
2024-10-18 21:21:46,222 DEBUG   SenderThread:3327812 [sender.py:send():336] send: run
2024-10-18 21:21:46,898 INFO    SenderThread:3327812 [dir_watcher.py:__init__():219] watching files in: /home/abdelrahman.elsayed/sarim_code/wandb/run-20241018_212146-w102ona2/files
2024-10-18 21:21:46,898 INFO    SenderThread:3327812 [sender.py:_start_run_threads():1078] run started: w102ona2 with start time 1729272106.164478
2024-10-18 21:21:46,898 DEBUG   SenderThread:3327812 [sender.py:send_request():363] send_request: summary_record
2024-10-18 21:21:46,898 INFO    SenderThread:3327812 [sender.py:_save_file():1332] saving file wandb-summary.json with policy end
2024-10-18 21:21:46,900 DEBUG   HandlerThread:3327812 [handler.py:handle_request():144] handle_request: check_version
2024-10-18 21:21:46,900 DEBUG   SenderThread:3327812 [sender.py:send_request():363] send_request: check_version
2024-10-18 21:21:46,969 DEBUG   HandlerThread:3327812 [handler.py:handle_request():144] handle_request: run_start
2024-10-18 21:21:47,000 DEBUG   HandlerThread:3327812 [system_info.py:__init__():31] System info init
2024-10-18 21:21:47,000 DEBUG   HandlerThread:3327812 [system_info.py:__init__():46] System info init done
2024-10-18 21:21:47,000 INFO    HandlerThread:3327812 [system_monitor.py:start():183] Starting system monitor
2024-10-18 21:21:47,000 INFO    SystemMonitor:3327812 [system_monitor.py:_start():147] Starting system asset monitoring threads
2024-10-18 21:21:47,000 INFO    HandlerThread:3327812 [system_monitor.py:probe():204] Collecting system info
2024-10-18 21:21:47,000 INFO    SystemMonitor:3327812 [interfaces.py:start():187] Started cpu monitoring
2024-10-18 21:21:47,001 INFO    SystemMonitor:3327812 [interfaces.py:start():187] Started disk monitoring
2024-10-18 21:21:47,002 INFO    SystemMonitor:3327812 [interfaces.py:start():187] Started gpu monitoring
2024-10-18 21:21:47,002 INFO    SystemMonitor:3327812 [interfaces.py:start():187] Started memory monitoring
2024-10-18 21:21:47,002 INFO    SystemMonitor:3327812 [interfaces.py:start():187] Started network monitoring
2024-10-18 21:21:47,040 DEBUG   HandlerThread:3327812 [system_info.py:probe():195] Probing system
2024-10-18 21:21:47,045 DEBUG   HandlerThread:3327812 [system_info.py:_probe_git():180] Probing git
2024-10-18 21:21:47,059 DEBUG   HandlerThread:3327812 [system_info.py:_probe_git():188] Probing git done
2024-10-18 21:21:47,060 DEBUG   HandlerThread:3327812 [system_info.py:probe():240] Probing system done
